时间,CPU占用(%),PSS占用(MB),RSS占用(MB),private_Dirty占用(MB),swap占用(MB),磁盘读速度(MB/s),磁盘写速度(MB/s),网络发送速度(MB/s),网络接收速度(MB/s),RssAnon(MB),RssFile(MB),进程数
2026-09-13 15:34:15,0.0,31.4,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
2026-09-13 15:34:16,0.0,31.4,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
2026-09-13 15:34:17,0.0,31.4,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
2026-09-13 15:34:18,0.0,31.4,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
2026-09-13 15:34:19,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
2026-09-13 15:34:20,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
2026-09-13 15:34:21,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
2026-09-13 15:34:22,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.0,8.3,40.1,2
2026-09-13 15:34:23,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
2026-09-13 15:34:24,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
2026-09-13 15:34:25,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
2026-09-13 15:34:26,0.0,31.31,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
2026-09-13 15:34:27,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.01,0.01,8.3,40.1,2
2026-09-13 15:34:28,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.01,0.01,8.3,40.1,2
2026-09-13 15:34:29,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
2026-09-13 15:34:30,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.0,8.3,40.1,2
2026-09-13 15:34:31,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
2026-09-13 15:34:32,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
2026-09-13 15:34:33,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.02,8.3,40.1,2
2026-09-13 15:34:34,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
2026-09-13 15:34:35,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
2026-09-13 15:34:36,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
2026-09-13 15:34:37,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
2026-09-13 15:34:38,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
2026-09-13 15:34:39,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.0,8.3,40.1,2
2026-09-13 15:34:40,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.0,8.3,40.1,2
2026-09-13 15:34:41,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
2026-09-13 15:34:42,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
2026-09-13 15:34:43,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.01,0.01,8.3,40.1,2
2026-09-13 15:34:44,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
2026-09-13 15:34:45,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
2026-09-13 15:34:46,0.0,31.43,48.39,8.3,0.0,0.0,0.0,0.0,0.01,8.3,40.1,2
